Batter,Opponent,runs,balls_faced,innings,strike_rate
Abdul Basith,Royal Challengers Bengaluru,1,1,1,100.0
Abdul Samad,Chennai Super Kings,72,52,5,138.46
Abdul Samad,Delhi Capitals,152,106,7,143.4
Abdul Samad,Gujarat Titans,53,42,4,126.19
Abdul Samad,Kings XI Punjab,15,12,2,125.0
Abdul Samad,Kolkata Knight Riders,129,95,9,135.79
Abdul Samad,Lucknow Super Giants,58,36,3,161.11
Abdul Samad,Mumbai Indians,47,42,7,111.9
Abdul Samad,Punjab Kings,146,78,6,187.18
Abdul Samad,Rajasthan Royals,92,62,6,148.39
Abdul Samad,Royal Challengers Bengaluru,49,24,6,204.17
Abdul Samad,Sunrisers Hyderabad,41,26,3,157.69
Abdur Razzak,Rajasthan Royals,0,2,1,0.0
Abhishek Sharma,Chennai Super Kings,329,205,11,160.49
Abhishek Sharma,Delhi Capitals,269,138,9,194.93
Abhishek Sharma,Gujarat Titans,239,160,7,149.38
Abhishek Sharma,Kings XI Punjab,17,9,2,188.89
Abhishek Sharma,Kolkata Knight Riders,229,159,13,144.03
Abhishek Sharma,Lucknow Super Giants,159,71,6,223.94
Abhishek Sharma,Mumbai Indians,239,156,12,153.21
Abhishek Sharma,Punjab Kings,406,191,7,212.57
Abhishek Sharma,Rajasthan Royals,190,130,10,146.15
Abhishek Sharma,Royal Challengers Bengaluru,294,164,12,179.27
Abishek Porel,Chennai Super Kings,41,25,2,164.0
Abishek Porel,Gujarat Titans,83,46,4,180.43
Abishek Porel,Kolkata Knight Riders,44,40,4,110.0
Abishek Porel,Lucknow Super Giants,109,71,3,153.52
Abishek Porel,Mumbai Indians,117,95,5,123.16
Abishek Porel,Punjab Kings,37,16,2,231.25
Abishek Porel,Rajasthan Royals,181,123,5,147.15
Abishek Porel,Royal Challengers Bengaluru,72,62,5,116.13
Abishek Porel,Sunrisers Hyderabad,84,50,3,168.0
Akash Deep,Chennai Super Kings,0,2,1,0.0
Akash Deep,Kolkata Knight Riders,17,8,1,212.5
Akash Deep,Mumbai Indians,2,3,2,66.67
Akash Deep,Sunrisers Hyderabad,6,1,1,600.0
Akash Madhwal,Mumbai Indians,4,9,1,44.44
Akash Madhwal,Rajasthan Royals,4,5,1,80.0
Akshat Raghuwanshi,Chennai Super Kings,18,18,1,100.0
Akshat Raghuwanshi,Mumbai Indians,11,7,1,157.14
Aman Hakim Khan,Chennai Super Kings,9,12,2,75.0
Aman Hakim Khan,Gujarat Titans,59,52,2,113.46
Aman Hakim Khan,Kolkata Knight Riders,0,2,1,0.0
Aman Hakim Khan,Lucknow Super Giants,4,5,1,80.0
Aman Hakim Khan,Punjab Kings,16,18,1,88.89
Aman Hakim Khan,Royal Challengers Bengaluru,18,10,1,180.0
Aman Hakim Khan,Sunrisers Hyderabad,9,5,2,180.0
Aniket Verma,Chennai Super Kings,21,23,2,91.3
Aniket Verma,Delhi Capitals,74,41,1,180.49
Aniket Verma,Gujarat Titans,21,21,2,100.0
Aniket Verma,Kolkata Knight Riders,25,24,4,104.17
Aniket Verma,Lucknow Super Giants,43,20,3,215.0
Aniket Verma,Mumbai Indians,30,22,2,136.36
Aniket Verma,Punjab Kings,18,9,1,200.0
Aniket Verma,Rajasthan Royals,14,9,3,155.56
Aniket Verma,Royal Challengers Bengaluru,69,27,2,255.56
Anirudh Singh,Kings XI Punjab,0,1,1,0.0
Anirudh Singh,Kolkata Knight Riders,14,14,1,100.0
Anirudh Singh,Rajasthan Royals,9,12,1,75.0
Anirudh Singh,Royal Challengers Bengaluru,40,39,1,102.56
Ankit Sharma,Chennai Super Kings,45,36,3,125.0
Ankit Sharma,Delhi Daredevils,1,1,1,100.0
Ankit Sharma,Gujarat Lions,25,15,1,166.67
Ankit Sharma,Kolkata Knight Riders,1,2,1,50.0
