Batter,Kind,count
KA Maharaj,caught,1
KA Pollard,bowled,20
KA Pollard,caught,86
KA Pollard,lbw,8
KA Pollard,run out,6
KA Pollard,stumped,1
KAJ Roach,bowled,1
KB Arun Karthik,bowled,1
KB Arun Karthik,caught,2
KB Arun Karthik,run out,1
KB Arun Karthik,stumped,1
KC Cariappa,bowled,3
KC Sangakkara,bowled,14
KC Sangakkara,caught,40
KC Sangakkara,caught and bowled,4
KC Sangakkara,lbw,2
KC Sangakkara,run out,2
KC Sangakkara,stumped,3
KD Karthik,bowled,26
KD Karthik,caught,118
KD Karthik,caught and bowled,3
KD Karthik,lbw,18
KD Karthik,run out,15
KD Karthik,stumped,4
KH Pandya,bowled,7
KH Pandya,caught,59
KH Pandya,caught and bowled,6
KH Pandya,hit wicket,1
KH Pandya,lbw,3
KH Pandya,run out,6
KH Pandya,stumped,3
KJ Abbott,caught,1
KK Ahmed,bowled,3
KK Ahmed,caught,1
KK Ahmed,run out,1
KK Cooper,bowled,1
KK Cooper,caught,7
KK Cooper,stumped,1
KK Nair,bowled,15
KK Nair,caught,44
KK Nair,caught and bowled,1
KK Nair,lbw,8
KK Nair,run out,3
KK Nair,stumped,2
KL Nagarkoti,bowled,2
KL Nagarkoti,caught,2
KL Rahul,bowled,19
KL Rahul,caught,93
KL Rahul,caught and bowled,1
KL Rahul,lbw,9
KL Rahul,run out,4
KL Rahul,stumped,2
KM Asif,caught,1
KM Jadhav,bowled,7
KM Jadhav,caught,30
KM Jadhav,caught and bowled,2
KM Jadhav,lbw,6
KM Jadhav,run out,7
KM Jadhav,stumped,2
KMA Paul,bowled,2
KMA Paul,caught,1
KMA Paul,lbw,1
KMA Paul,run out,1
KP Appanna,run out,1
KP Pietersen,bowled,8
KP Pietersen,caught,12
KP Pietersen,lbw,2
KP Pietersen,run out,2
KP Pietersen,stumped,3
KR Mayers,bowled,4
KR Mayers,caught,9
KS Bharat,caught,7
KS Rathore,caught,1
KS Sharma,caught,2
KS Sharma,caught and bowled,1
KS Williamson,bowled,8
KS Williamson,caught,40
KS Williamson,caught and bowled,2
KS Williamson,lbw,4
KS Williamson,run out,4
KS Williamson,stumped,2
KV Sharma,bowled,2
KV Sharma,caught,18
KV Sharma,caught and bowled,1
KV Sharma,lbw,1
KV Sharma,run out,4
KW Richardson,caught,2
KW Richardson,caught and bowled,1
Kamran Akmal,caught,3
Kamran Akmal,run out,2
Kamran Khan,caught,1
Karanveer Singh,bowled,1
Kartik Sharma,caught,6
Kartik Sharma,lbw,2
Kartik Sharma,run out,1
Kartik Tyagi,bowled,2
Kartik Tyagi,caught,3
Kartik Tyagi,caught and bowled,1
Kartik Tyagi,run out,1
Krish Bhagat,caught,1
Kuldeep Yadav,bowled,3
Kuldeep Yadav,caught,4
Kuldeep Yadav,lbw,3
Kuldeep Yadav,run out,8
Kumar Kushagra,caught,3
Kumar Kushagra,lbw,1
L Balaji,bowled,1
L Balaji,caught,3
L Balaji,lbw,2
L Balaji,run out,2
L Ngidi,caught,2
L Ronchi,caught,2
L Ronchi,run out,3
LA Carseldine,lbw,1
LA Carseldine,run out,2
LA Carseldine,stumped,1
LA Pomersbach,bowled,4
LA Pomersbach,caught,5
LA Pomersbach,caught and bowled,1
LA Pomersbach,run out,1
LE Plunkett,caught,1
LG Pretorius,caught,1
LG Pretorius,run out,1
LH Ferguson,caught,2
LH Ferguson,run out,1
LJ Wright,caught,4
LJ Wright,run out,1
LMP Simmons,bowled,6
LMP Simmons,caught,16
LMP Simmons,caught and bowled,1
LMP Simmons,lbw,3
LMP Simmons,run out,1
LPC Silva,caught,2
LR Shukla,bowled,6
LR Shukla,caught,16
LR Shukla,lbw,2
LR Shukla,run out,2
LR Shukla,stumped,1
LRPL Taylor,bowled,6
LRPL Taylor,caught,24
LRPL Taylor,caught and bowled,2
LRPL Taylor,lbw,5
LRPL Taylor,run out,2
LRPL Taylor,stumped,1
LS Livingstone,bowled,7
LS Livingstone,caught,25
LS Livingstone,caught and bowled,1
LS Livingstone,lbw,5
LS Livingstone,run out,1
LS Livingstone,stumped,3
Lalit Yadav,bowled,5
Lalit Yadav,caught,7
Lalit Yadav,lbw,3
Lalit Yadav,run out,1
Liton Das,caught,1
M Ashwin,caught,5
M Ashwin,run out,3
M Ashwin,stumped,1
M Jansen,bowled,4
M Jansen,caught,11
M Kaif,bowled,3
M Kaif,caught,9
M Kaif,caught and bowled,1
M Kaif,lbw,1
M Kaif,run out,2
M Kaif,stumped,2
M Kartik,bowled,1
M Kartik,caught,2
M Kartik,caught and bowled,2
M Kartik,run out,2
M Klinger,bowled,1
M Klinger,caught,2
M Klinger,lbw,1
M Manhas,bowled,6
M Manhas,caught,14
M Manhas,caught and bowled,1
M Manhas,run out,2
M Markande,bowled,1
M Markande,caught,1
M Markande,lbw,1
M Morkel,bowled,3
M Morkel,caught,6
M Morkel,run out,1
M Morkel,stumped,1
M Muralitharan,bowled,1
