Batter,season,Phase,runs,balls_faced,fours,sixes,strike_rate,boundary_pct
AB Dinda,2008,Middle,1,1,0,0,100.0,0.0
AB Dinda,2009,Death,2,2,0,0,100.0,0.0
AB Dinda,2009,Middle,0,1,0,0,0.0,0.0
AB Dinda,2010,Death,0,1,0,0,0.0,0.0
AB Dinda,2011,Death,0,5,0,0,0.0,0.0
AB Dinda,2012,Death,2,5,0,0,40.0,0.0
AB Dinda,2013,Death,9,11,1,0,81.82,9.09
AB Dinda,2014,Death,4,9,0,0,44.44,0.0
AB Dinda,2014,Middle,0,3,0,0,0.0,0.0
AB Dinda,2017,Death,0,1,0,0,0.0,0.0
AB Dinda,2017,Middle,7,6,1,0,116.67,16.67
AB McDonald,2009,Middle,3,4,0,0,75.0,0.0
AB McDonald,2010,Death,53,37,3,2,143.24,13.51
AB McDonald,2010,Middle,12,15,0,0,80.0,0.0
AB McDonald,2011,Death,8,7,0,0,114.29,0.0
AB McDonald,2012,Death,17,16,2,0,106.25,12.5
AB McDonald,2012,Powerplay,30,19,4,2,157.89,31.58
AB McDonald,2013,Death,0,2,0,0,0.0,0.0
AB de Villiers,2008,Death,8,6,1,0,133.33,16.67
AB de Villiers,2008,Middle,59,62,2,0,95.16,3.23
AB de Villiers,2008,Powerplay,28,30,2,1,93.33,10.0
AB de Villiers,2009,Death,111,52,11,5,213.46,30.77
AB de Villiers,2009,Middle,287,239,20,5,120.08,10.46
AB de Villiers,2009,Powerplay,61,63,8,1,96.83,14.29
AB de Villiers,2010,Middle,63,70,1,0,90.0,1.43
AB de Villiers,2010,Powerplay,48,49,6,0,97.96,12.24
AB de Villiers,2011,Death,83,42,4,6,197.62,23.81
AB de Villiers,2011,Middle,190,164,12,7,115.85,11.59
AB de Villiers,2011,Powerplay,33,36,5,0,91.67,13.89
AB de Villiers,2012,Death,165,68,16,12,242.65,41.18
AB de Villiers,2012,Middle,144,122,9,3,118.03,9.84
AB de Villiers,2012,Powerplay,9,7,1,0,128.57,14.29
AB de Villiers,2013,Death,155,59,13,12,262.71,42.37
AB de Villiers,2013,Middle,190,152,19,2,125.0,13.82
AB de Villiers,2013,Powerplay,28,12,2,3,233.33,41.67
AB de Villiers,2014,Death,123,62,11,9,198.39,32.26
AB de Villiers,2014,Middle,249,171,12,14,145.61,15.2
AB de Villiers,2014,Powerplay,17,15,3,0,113.33,20.0
AB de Villiers,2015,Death,98,38,11,6,257.89,44.74
AB de Villiers,2015,Middle,329,181,33,16,181.77,27.07
AB de Villiers,2015,Powerplay,84,72,16,0,116.67,22.22
AB de Villiers,2016,Death,92,43,7,7,213.95,32.56
AB de Villiers,2016,Middle,447,265,31,24,168.68,20.75
AB de Villiers,2016,Powerplay,143,97,18,6,147.42,24.74
AB de Villiers,2017,Death,51,17,1,7,300.0,47.06
AB de Villiers,2017,Middle,94,85,3,5,110.59,9.41
AB de Villiers,2017,Powerplay,71,61,8,4,116.39,19.67
AB de Villiers,2018,Death,48,17,2,5,282.35,41.18
AB de Villiers,2018,Middle,345,204,22,23,169.12,22.06
AB de Villiers,2018,Powerplay,87,54,15,2,161.11,31.48
AB de Villiers,2019,Death,110,43,4,12,255.81,37.21
AB de Villiers,2019,Middle,249,175,17,12,142.29,16.57
AB de Villiers,2019,Powerplay,83,69,10,2,120.29,17.39
AB de Villiers,2020,Death,187,84,10,16,222.62,30.95
AB de Villiers,2020,Middle,223,167,17,6,133.53,13.77
AB de Villiers,2020,Powerplay,43,36,6,1,119.44,19.44
AB de Villiers,2021,Death,167,73,13,13,228.77,35.62
AB de Villiers,2021,Middle,140,125,10,3,112.0,10.4
AB de Villiers,2021,Powerplay,6,13,0,0,46.15,0.0
AC Blizzard,2011,Middle,21,14,1,2,150.0,21.43
AC Blizzard,2011,Powerplay,99,73,20,0,135.62,27.4
AC Blizzard,2012,Powerplay,0,3,0,0,0.0,0.0
AC Gilchrist,2008,Middle,157,101,10,11,155.45,20.79
AC Gilchrist,2008,Powerplay,274,213,40,8,128.64,22.54
AC Gilchrist,2009,Middle,113,94,2,9,120.21,11.7
AC Gilchrist,2009,Powerplay,373,228,50,20,163.6,30.7
AC Gilchrist,2010,Middle,40,23,2,3,173.91,21.74
AC Gilchrist,2010,Powerplay,249,162,29,13,153.7,25.93
AC Gilchrist,2011,Death,25,13,3,2,192.31,38.46
AC Gilchrist,2011,Middle,183,110,14,12,166.36,23.64
AC Gilchrist,2011,Powerplay,170,168,23,4,101.19,16.07
AC Gilchrist,2012,Death,12,7,0,1,171.43,14.29
AC Gilchrist,2012,Middle,44,29,4,2,151.72,20.69
AC Gilchrist,2012,Powerplay,112,106,16,1,105.66,16.04
AC Gilchrist,2013,Death,15,5,0,2,300.0,40.0
AC Gilchrist,2013,Middle,85,75,11,1,113.33,16.0
AC Gilchrist,2013,Powerplay,194,149,30,3,130.2,22.15
AC Thomas,2011,Death,1,4,0,0,25.0,0.0
AC Thomas,2012,Death,18,14,1,1,128.57,14.29
AC Thomas,2012,Middle,1,1,0,0,100.0,0.0
AC Voges,2010,Death,66,44,5,2,150.0,15.91
AC Voges,2010,Middle,108,90,9,1,120.0,11.11
AC Voges,2010,Powerplay,7,9,1,0,77.78,11.11
AD Hales,2018,Middle,34,37,2,0,91.89,5.41
AD Hales,2018,Powerplay,113,80,11,6,141.25,21.25
