Bowler,Opponent,runs_conceded,balls_bowled,overs,economy,wickets
AS Roy,Gujarat Titans,53,24,4.0,13.25,0
AS Roy,Lucknow Super Giants,74,54,9.0,8.22,3
AS Roy,Mumbai Indians,20,13,2.1666666666666665,9.23,0
AS Roy,Punjab Kings,36,12,2.0,18.0,0
AS Roy,Rajasthan Royals,48,30,5.0,9.6,1
AS Roy,Royal Challengers Bengaluru,36,30,5.0,7.2,0
AS Roy,Sunrisers Hyderabad,47,36,6.0,7.83,3
AU Rashid,Lucknow Super Giants,23,18,3.0,7.67,2
AU Rashid,Rajasthan Royals,68,42,7.0,9.71,0
AUK Pathan,Kings XI Punjab,14,6,1.0,14.0,0
AUK Pathan,Kochi Tuskers Kerala,13,12,2.0,6.5,0
AUK Pathan,Mumbai Indians,30,21,3.5,8.57,0
Abdul Samad,Chennai Super Kings,36,24,4.0,9.0,1
Abdul Samad,Delhi Capitals,6,1,0.16666666666666666,36.0,0
Abdul Samad,Kings XI Punjab,28,6,1.0,28.0,0
Abdul Samad,Lucknow Super Giants,8,6,1.0,8.0,0
Abdul Samad,Mumbai Indians,27,12,2.0,13.5,0
Abdul Samad,Punjab Kings,15,8,1.3333333333333333,11.25,1
Abdur Razzak,Rajasthan Royals,19,12,2.0,9.5,0
Abhinandan Singh,Chennai Super Kings,30,22,3.6666666666666665,8.18,2
Abhinandan Singh,Rajasthan Royals,52,18,3.0,17.33,0
Abhinandan Singh,Sunrisers Hyderabad,38,18,3.0,12.67,1
Abhishek Sharma,Chennai Super Kings,33,30,5.0,6.6,0
Abhishek Sharma,Delhi Capitals,113,78,13.0,8.69,2
Abhishek Sharma,Gujarat Titans,29,12,2.0,14.5,0
Abhishek Sharma,Kings XI Punjab,24,12,2.0,12.0,1
Abhishek Sharma,Kolkata Knight Riders,65,36,6.0,10.83,0
Abhishek Sharma,Lucknow Super Giants,61,30,5.0,12.2,1
Abhishek Sharma,Mumbai Indians,18,18,3.0,6.0,2
Abhishek Sharma,Punjab Kings,30,29,4.833333333333333,6.21,2
Abhishek Sharma,Rajasthan Royals,90,66,11.0,8.18,2
Abhishek Sharma,Royal Challengers Bengaluru,76,54,9.0,8.44,1
Akash Deep,Chennai Super Kings,67,30,5.0,13.4,0
Akash Deep,Gujarat Titans,78,42,7.0,11.14,0
Akash Deep,Kolkata Knight Riders,112,59,9.833333333333334,11.39,5
Akash Deep,Mumbai Indians,147,87,14.5,10.14,4
Akash Deep,Punjab Kings,38,18,3.0,12.67,1
Akash Deep,Rajasthan Royals,43,24,4.0,10.75,0
Akash Deep,Sunrisers Hyderabad,28,18,3.0,9.33,0
Akash Madhwal,Chennai Super Kings,65,48,8.0,8.12,4
Akash Madhwal,Delhi Capitals,38,24,4.0,9.5,0
Akash Madhwal,Gujarat Titans,76,48,8.0,9.5,4
Akash Madhwal,Kolkata Knight Riders,47,18,3.0,15.67,0
Akash Madhwal,Lucknow Super Giants,33,45,7.5,4.4,5
Akash Madhwal,Mumbai Indians,38,24,4.0,9.5,0
Akash Madhwal,Punjab Kings,117,61,10.166666666666666,11.51,2
