Bowler,Opponent,runs_conceded,balls_bowled,overs,economy,wickets
Akash Madhwal,Rajasthan Royals,19,24,4.0,4.75,3
Akash Madhwal,Royal Challengers Bengaluru,74,36,6.0,12.33,1
Akash Madhwal,Sunrisers Hyderabad,35,24,4.0,8.75,4
Akash Singh,Chennai Super Kings,64,48,8.0,8.0,3
Akash Singh,Gujarat Titans,29,19,3.1666666666666665,9.16,1
Akash Singh,Kolkata Knight Riders,28,24,4.0,7.0,1
Akash Singh,Punjab Kings,64,42,7.0,9.14,2
Akash Singh,Rajasthan Royals,116,54,9.0,12.89,3
Akash Singh,Royal Challengers Bengaluru,75,42,7.0,10.71,2
Akash Singh,Sunrisers Hyderabad,17,18,3.0,5.67,1
Aman Hakim Khan,Sunrisers Hyderabad,13,6,1.0,13.0,0
Anand Rajan,Delhi Daredevils,19,24,4.0,4.75,1
Anand Rajan,Kings XI Punjab,22,12,2.0,11.0,0
Anand Rajan,Kolkata Knight Riders,30,36,6.0,5.0,2
Anand Rajan,Mumbai Indians,32,30,5.0,6.4,3
Anand Rajan,Rajasthan Royals,43,24,4.0,10.75,1
Anand Rajan,Royal Challengers Bengaluru,42,23,3.8333333333333335,10.96,1
Ankit Sharma,Chennai Super Kings,124,102,17.0,7.29,5
Ankit Sharma,Delhi Daredevils,33,19,3.1666666666666665,10.42,0
Ankit Sharma,Gujarat Lions,16,6,1.0,16.0,0
Ankit Sharma,Kings XI Punjab,25,24,4.0,6.25,1
Ankit Sharma,Kolkata Knight Riders,42,42,7.0,6.0,1
Ankit Sharma,Mumbai Indians,69,72,12.0,5.75,3
Ankit Sharma,Pune Warriors,20,24,4.0,5.0,2
Ankit Sharma,Rajasthan Royals,32,24,4.0,8.0,0
Ankit Sharma,Royal Challengers Bengaluru,75,54,9.0,8.33,0
Ankit Soni,Delhi Daredevils,26,12,2.0,13.0,0
Ankit Soni,Kings XI Punjab,27,18,3.0,9.0,0
Ankit Soni,Mumbai Indians,15,24,4.0,3.75,1
Ankit Soni,Rising Pune Supergiants,15,24,4.0,3.75,0
Ankit Soni,Royal Challengers Bengaluru,27,18,3.0,9.0,1
Ankit Soni,Sunrisers Hyderabad,31,13,2.1666666666666665,14.31,0
Anureet Singh,Chennai Super Kings,74,47,7.833333333333333,9.45,1
Anureet Singh,Delhi Daredevils,51,42,7.0,7.29,2
Anureet Singh,Kings XI Punjab,32,18,3.0,10.67,1
Anureet Singh,Kolkata Knight Riders,103,53,8.833333333333334,11.66,2
Anureet Singh,Mumbai Indians,67,48,8.0,8.38,3
Anureet Singh,Rajasthan Royals,97,72,12.0,8.08,6
Anureet Singh,Royal Challengers Bengaluru,59,54,9.0,6.56,2
Anureet Singh,Sunrisers Hyderabad,110,78,13.0,8.46,1
Arjun Tendulkar,Gujarat Titans,9,12,2.0,4.5,1
Arjun Tendulkar,Kolkata Knight Riders,16,12,2.0,8.0,0
Arjun Tendulkar,Lucknow Super Giants,21,14,2.3333333333333335,9.0,0
